2026/09/12 05:58:00.878, 13132 MiB, 16311 MiB, 0 %, 33, 6.56 W, 180 MHz
2026/09/12 05:58:01.080, 13132 MiB, 16311 MiB, 0 %, 33, 7.08 W, 195 MHz
2026/09/12 05:58:01.282, 13132 MiB, 16311 MiB, 0 %, 33, 7.45 W, 195 MHz
2026/09/12 05:58:01.483, 13132 MiB, 16311 MiB, 0 %, 33, 7.74 W, 195 MHz
2026/09/12 05:58:01.685, 13132 MiB, 16311 MiB, 0 %, 33, 10.03 W, 180 MHz
2026/09/12 05:58:01.887, 13132 MiB, 16311 MiB, 0 %, 33, 10.03 W, 180 MHz
2026/09/12 05:58:02.088, 13132 MiB, 16311 MiB, 0 %, 33, 10.03 W, 180 MHz
2026/09/12 05:58:02.292, 13132 MiB, 16311 MiB, 0 %, 33, 10.03 W, 180 MHz
2026/09/12 05:58:02.494, 13132 MiB, 16311 MiB, 0 %, 33, 10.03 W, 180 MHz
2026/09/12 05:58:02.696, 13132 MiB, 16311 MiB, 0 %, 33, 10.03 W, 180 MHz
2026/09/12 05:58:02.898, 13132 MiB, 16311 MiB, 0 %, 33, 5.99 W, 180 MHz
2026/09/12 05:58:03.099, 13132 MiB, 16311 MiB, 0 %, 33, 5.99 W, 180 MHz
2026/09/12 05:58:03.301, 13132 MiB, 16311 MiB, 0 %, 33, 5.99 W, 180 MHz
2026/09/12 05:58:03.503, 13132 MiB, 16311 MiB, 0 %, 33, 5.99 W, 180 MHz
2026/09/12 05:58:03.705, 13132 MiB, 16311 MiB, 0 %, 33, 5.99 W, 180 MHz
2026/09/12 05:58:03.906, 13132 MiB, 16311 MiB, 0 %, 33, 5.99 W, 180 MHz
2026/09/12 05:58:04.107, 13132 MiB, 16311 MiB, 0 %, 33, 5.99 W, 180 MHz
2026/09/12 05:58:04.309, 13132 MiB, 16311 MiB, 0 %, 33, 5.99 W, 180 MHz
2026/09/12 05:58:04.511, 13132 MiB, 16311 MiB, 0 %, 33, 5.99 W, 180 MHz
2026/09/12 05:58:04.713, 13132 MiB, 16311 MiB, 0 %, 33, 5.92 W, 180 MHz
2026/09/12 05:58:04.914, 13132 MiB, 16311 MiB, 0 %, 33, 5.92 W, 180 MHz
2026/09/12 05:58:05.116, 13132 MiB, 16311 MiB, 0 %, 33, 5.92 W, 180 MHz
2026/09/12 05:58:05.317, 13132 MiB, 16311 MiB, 0 %, 33, 5.92 W, 180 MHz
2026/09/12 05:58:05.519, 13132 MiB, 16311 MiB, 0 %, 33, 5.94 W, 180 MHz
2026/09/12 05:58:05.721, 13132 MiB, 16311 MiB, 2 %, 33, 6.63 W, 187 MHz
2026/09/12 05:58:05.922, 13132 MiB, 16311 MiB, 0 %, 33, 10.39 W, 187 MHz
2026/09/12 05:58:06.123, 13132 MiB, 16311 MiB, 0 %, 33, 12.16 W, 187 MHz
2026/09/12 05:58:06.325, 13132 MiB, 16311 MiB, 0 %, 33, 13.55 W, 2610 MHz
2026/09/12 05:58:06.526, 13132 MiB, 16311 MiB, 0 %, 33, 22.60 W, 2610 MHz
2026/09/12 05:58:06.727, 13132 MiB, 16311 MiB, 0 %, 34, 25.40 W, 2610 MHz
2026/09/12 05:58:06.928, 13132 MiB, 16311 MiB, 0 %, 34, 25.40 W, 2610 MHz
